gene,compare,medianP,meanlogFC,DEGtype,Gene_Name,
ENSG00000143067,D5/D6,0.018,-0.268,non-DEG,ZNF697,
ENSG00000143079,D5/D6,2.48E-05,-0.612,non-DEG,CTTNBP2NL,
ENSG00000143093,D5/D6,0.00576,0.18,non-DEG,STRIP1,
ENSG00000143110,D5/D6,4.45E-05,-0.999,down-regulate,C1orf162,
ENSG00000143119,D5/D6,0.00273,-0.183,non-DEG,CD53,
ENSG00000143126,D5/D6,0.00375,0.779,non-DEG,CELSR2,
ENSG00000143153,D5/D6,4.09E-06,-0.525,non-DEG,ATP1B1,
ENSG00000143157,D5/D6,0.00623,0.189,non-DEG,POGK,
ENSG00000143158,D5/D6,0.00301,-0.23,non-DEG,MPC2,
ENSG00000143162,D5/D6,0.00766,0.234,non-DEG,CREG1,
ENSG00000143164,D5/D6,0.0124,-0.167,non-DEG,DCAF6,
ENSG00000143179,D5/D6,4.19E-06,0.807,non-DEG,UCK2,
ENSG00000143183,D5/D6,0.214,-0.123,non-DEG,TMCO1,
ENSG00000143195,D5/D6,0.000597,-2.545,down-regulate,ILDR2,
ENSG00000143198,D5/D6,0.00313,-0.271,non-DEG,MGST3,
ENSG00000143217,D5/D6,0.071,-0.696,non-DEG,NECTIN4,
ENSG00000143222,D5/D6,0.075,-0.129,non-DEG,UFC1,
ENSG00000143226,D5/D6,9.18E-06,1.107,up-regulate,FCGR2A,
ENSG00000143228,D5/D6,0.00301,-0.506,non-DEG,NUF2,
ENSG00000143248,D5/D6,0.00177,-0.661,non-DEG,RGS5,
ENSG00000143256,D5/D6,0.00149,0.401,non-DEG,PFDN2,
ENSG00000143297,D5/D6,2.58E-09,-1.432,down-regulate,FCRL5,
ENSG00000143314,D5/D6,0.0593,0.179,non-DEG,MRPL24,
ENSG00000143315,D5/D6,0.00884,0.234,non-DEG,PIGM,
ENSG00000143319,D5/D6,0.0268,0.178,non-DEG,ISG20L2,
ENSG00000143322,D5/D6,0.0296,0.166,non-DEG,ABL2,
ENSG00000143324,D5/D6,0.00346,-0.226,non-DEG,XPR1,
ENSG00000143333,D5/D6,4.53E-05,-0.419,non-DEG,RGS16,
ENSG00000143337,D5/D6,0.0622,-0.249,non-DEG,TOR1AIP1,
ENSG00000143344,D5/D6,9.32E-07,-0.969,non-DEG,RGL1,
ENSG00000143353,D5/D6,0.00125,0.294,non-DEG,LYPLAL1,
ENSG00000143374,D5/D6,0.0689,0.16,non-DEG,TARS2,
ENSG00000143375,D5/D6,0.184,-0.307,non-DEG,CGN,
ENSG00000143379,D5/D6,0.148,0.091,non-DEG,SETDB1,
ENSG00000143382,D5/D6,0.000309,-1.236,down-regulate,ADAMTSL4,
ENSG00000143384,D5/D6,7.63E-09,-0.8,non-DEG,MCL1,
ENSG00000143387,D5/D6,0.0575,-0.235,non-DEG,CTSK,
ENSG00000143390,D5/D6,8.90E-05,-0.313,non-DEG,RFX5,
ENSG00000143393,D5/D6,0.000895,-0.301,non-DEG,PI4KB,
ENSG00000143398,D5/D6,0.0695,0.172,non-DEG,PIP5K1A,
ENSG00000143401,D5/D6,0.0557,-0.11,non-DEG,ANP32E,
ENSG00000143409,D5/D6,0.0142,-0.345,non-DEG,MINDY1,
ENSG00000143412,D5/D6,0.117,-0.333,non-DEG,ANXA9,
ENSG00000143418,D5/D6,3.73E-05,0.558,non-DEG,CERS2,
ENSG00000143420,D5/D6,0.000733,-0.277,non-DEG,ENSA,
ENSG00000143434,D5/D6,0.147,-0.356,non-DEG,SEMA6C,
ENSG00000143437,D5/D6,0.0417,-0.32,non-DEG,ARNT,
ENSG00000143442,D5/D6,0.0654,0.026,non-DEG,POGZ,
ENSG00000143443,D5/D6,0.0587,-0.321,non-DEG,C1orf56,
ENSG00000143457,D5/D6,0.0771,-0.083,non-DEG,GOLPH3L,
ENSG00000143458,D5/D6,0.000885,-0.325,non-DEG,GABPB2,
ENSG00000143476,D5/D6,0.103,0.16,non-DEG,DTL,
ENSG00000143493,D5/D6,0.000122,0.384,non-DEG,INTS7,
ENSG00000143494,D5/D6,0.000457,-1.787,down-regulate,VASH2,
ENSG00000143499,D5/D6,0.0076,0.25,non-DEG,SMYD2,
ENSG00000143507,D5/D6,0.0615,-0.113,non-DEG,DUSP10,
ENSG00000143514,D5/D6,0.000218,-0.372,non-DEG,TP53BP2,
ENSG00000143515,D5/D6,0.0019,0.22,non-DEG,ATP8B2,
ENSG00000143537,D5/D6,7.89E-06,0.851,non-DEG,ADAM15,
ENSG00000143543,D5/D6,0.123,0.198,non-DEG,JTB,
ENSG00000143545,D5/D6,0.059,-0.245,non-DEG,RAB13,
ENSG00000143553,D5/D6,0.102,-0.156,non-DEG,SNAPIN,
ENSG00000143569,D5/D6,2.51E-05,0.391,non-DEG,UBAP2L,
ENSG00000143570,D5/D6,0.132,0.219,non-DEG,SLC39A1,
ENSG00000143575,D5/D6,0.0808,-0.082,non-DEG,HAX1,
ENSG00000143603,D5/D6,0.00256,-0.975,down-regulate,KCNN3,
ENSG00000143614,D5/D6,0.0769,0.105,non-DEG,GATAD2B,
ENSG00000143621,D5/D6,0.000827,0.293,non-DEG,ILF2,
ENSG00000143622,D5/D6,0.000147,-0.451,non-DEG,RIT1,
ENSG00000143624,D5/D6,0.0016,-0.189,non-DEG,INTS3,
ENSG00000143641,D5/D6,2.52E-06,-0.507,non-DEG,GALNT2,
ENSG00000143643,D5/D6,0.00422,0.26,non-DEG,TTC13,
ENSG00000143653,D5/D6,0.000138,0.435,non-DEG,SCCPDH,
ENSG00000143669,D5/D6,7.20E-06,-0.595,non-DEG,LYST,
ENSG00000143674,D5/D6,0.000293,1.168,up-regulate,MAP3K21,
ENSG00000143702,D5/D6,0.0455,-0.263,non-DEG,CEP170,
ENSG00000143727,D5/D6,0.105,0.23,non-DEG,ACP1,
ENSG00000143751,D5/D6,0.0711,0.092,non-DEG,SDE2,
ENSG00000143772,D5/D6,3.31E-05,0.329,non-DEG,ITPKB,
ENSG00000143776,D5/D6,1.29E-08,-2.375,down-regulate,CDC42BPA,
ENSG00000143797,D5/D6,6.99E-08,-1.47,down-regulate,MBOAT2,
ENSG00000143799,D5/D6,0.00158,0.165,non-DEG,PARP1,
ENSG00000143811,D5/D6,0.0915,0.167,non-DEG,PYCR2,
ENSG00000143815,D5/D6,0.0969,0.076,non-DEG,LBR,
ENSG00000143847,D5/D6,0.000508,-0.982,down-regulate,PPFIA4,
ENSG00000143851,D5/D6,2.12E-05,0.477,non-DEG,PTPN7,
ENSG00000143869,D5/D6,0.00587,0.374,non-DEG,GDF7,
ENSG00000143870,D5/D6,0.000167,-0.249,non-DEG,PDIA6,
ENSG00000143878,D5/D6,8.59E-06,-1.056,down-regulate,RHOB,
ENSG00000143882,D5/D6,0.321,-0.171,non-DEG,ATP6V1C2,
ENSG00000143889,D5/D6,1.24E-05,-0.627,non-DEG,HNRNPLL,
ENSG00000143891,D5/D6,8.41E-07,-1.51,down-regulate,GALM,
ENSG00000143919,D5/D6,0.0268,0.249,non-DEG,CAMKMT,
ENSG00000143921,D5/D6,0.0354,0.618,non-DEG,ABCG8,
ENSG00000143924,D5/D6,7.56E-05,0.518,non-DEG,EML4,
ENSG00000143933,D5/D6,0.00621,0.294,non-DEG,CALM2,
ENSG00000143942,D5/D6,0.033,0.275,non-DEG,CHAC2,
ENSG00000143947,D5/D6,0.000758,0.33,non-DEG,RPS27A,
ENSG00000143951,D5/D6,0.00706,0.274,non-DEG,WDPCP,
ENSG00000143970,D5/D6,0.000587,0.252,non-DEG,ASXL2,
ENSG00000143977,D5/D6,0.0522,0.156,non-DEG,SNRPG,
ENSG00000143994,D5/D6,0.12,0.355,non-DEG,ABHD1,
ENSG00000144021,D5/D6,0.000565,0.277,non-DEG,CIAO1,
ENSG00000144028,D5/D6,0.000114,0.21,non-DEG,SNRNP200,
ENSG00000144029,D5/D6,0.0394,0.107,non-DEG,MRPS5,
ENSG00000144036,D5/D6,0.00127,-0.359,non-DEG,EXOC6B,
ENSG00000144040,D5/D6,1.23E-06,-1.572,down-regulate,SFXN5,
ENSG00000144043,D5/D6,0.0177,0.126,non-DEG,TEX261,
ENSG00000144048,D5/D6,0.000255,0.502,non-DEG,DUSP11,
ENSG00000144115,D5/D6,0.00155,1.059,up-regulate,THNSL2,
ENSG00000144118,D5/D6,0.0183,-0.71,non-DEG,RALB,
ENSG00000144120,D5/D6,0.00426,0.5,non-DEG,TMEM177,
ENSG00000144130,D5/D6,0.0033,0.443,non-DEG,NT5DC4,
ENSG00000144136,D5/D6,0.0375,-0.1,non-DEG,SLC20A1,
ENSG00000144161,D5/D6,0.0034,0.292,non-DEG,ZC3H8,
ENSG00000144214,D5/D6,0.0144,-0.578,non-DEG,LYG1,
ENSG00000144218,D5/D6,0.0995,0.317,non-DEG,AFF3,
ENSG00000144224,D5/D6,8.99E-05,-0.291,non-DEG,UBXN4,
ENSG00000144228,D5/D6,0.27,-0.073,non-DEG,SPOPL,
ENSG00000144231,D5/D6,0.0819,0.115,non-DEG,POLR2D,
ENSG00000144283,D5/D6,0.000771,-0.537,non-DEG,PKP4,
ENSG00000144306,D5/D6,0.00451,0.352,non-DEG,SCRN3,
ENSG00000144357,D5/D6,0.129,-0.147,non-DEG,UBR3,
ENSG00000144381,D5/D6,0.0747,0.081,non-DEG,HSPD1,
ENSG00000144395,D5/D6,0.00775,-0.59,non-DEG,CCDC150,
ENSG00000144426,D5/D6,0.0059,-0.395,non-DEG,NBEAL1,
ENSG00000144445,D5/D6,0.154,0.139,non-DEG,KANSL1L,
ENSG00000144451,D5/D6,0.0747,-0.149,non-DEG,SPAG16,
ENSG00000144452,D5/D6,0.000291,0.932,up-regulate,ABCA12,
ENSG00000144455,D5/D6,0.0695,0.196,non-DEG,SUMF1,
ENSG00000144488,D5/D6,0.029,0.312,non-DEG,ESPNL,
ENSG00000144504,D5/D6,0.000377,0.431,non-DEG,ANKMY1,
ENSG00000144524,D5/D6,0.00872,0.24,non-DEG,COPS7B,
ENSG00000144559,D5/D6,0.00778,0.249,non-DEG,TAMM41,
ENSG00000144560,D5/D6,0.000805,0.306,non-DEG,VGLL4,
ENSG00000144567,D5/D6,0.0846,0.22,non-DEG,RETREG2,
ENSG00000144579,D5/D6,0.0611,0.107,non-DEG,CTDSP1,
ENSG00000144580,D5/D6,0.078,0.168,non-DEG,CNOT9,
ENSG00000144591,D5/D6,0.0171,-0.202,non-DEG,GMPPA,
ENSG00000144597,D5/D6,0.00173,-0.25,non-DEG,EAF1,
ENSG00000144619,D5/D6,0.0146,0.737,non-DEG,CNTN4,
ENSG00000144635,D5/D6,0.123,-0.106,non-DEG,DYNC1LI1,
ENSG00000144655,D5/D6,3.80E-05,-0.43,non-DEG,CSRNP1,
ENSG00000144674,D5/D6,0.0775,-0.207,non-DEG,GOLGA4,
ENSG00000144711,D5/D6,0.00563,-0.465,non-DEG,IQSEC1,
ENSG00000144712,D5/D6,0.0285,0.274,non-DEG,CAND2,
ENSG00000144713,D5/D6,0.000521,0.344,non-DEG,RPL32,
ENSG00000144724,D5/D6,3.85E-06,-2.719,down-regulate,PTPRG,
ENSG00000144736,D5/D6,0.0114,0.263,non-DEG,SHQ1,
ENSG00000144744,D5/D6,0.0075,0.216,non-DEG,UBA3,
ENSG00000144747,D5/D6,0.00377,-0.184,non-DEG,TMF1,
ENSG00000144749,D5/D6,4.71E-06,-1.039,down-regulate,LRIG1,
ENSG00000144785,D5/D6,0.089,0.528,non-DEG,,
ENSG00000144792,D5/D6,0.111,-0.425,non-DEG,ZNF660,
ENSG00000144802,D5/D6,0.00161,-0.41,non-DEG,NFKBIZ,
ENSG00000144815,D5/D6,2.63E-05,-0.565,non-DEG,NXPE3,
ENSG00000144837,D5/D6,7.98E-06,-0.598,non-DEG,PLA1A,
ENSG00000144840,D5/D6,0.0499,-0.145,non-DEG,RABL3,
ENSG00000144843,D5/D6,3.10E-06,-0.606,non-DEG,ADPRH,
ENSG00000144848,D5/D6,0.0867,0.125,non-DEG,ATG3,
ENSG00000144867,D5/D6,0.00943,0.216,non-DEG,SRPRB,
ENSG00000144893,D5/D6,0.000156,-1.616,down-regulate,MED12L,
ENSG00000144895,D5/D6,0.000374,0.329,non-DEG,EIF2A,
ENSG00000144935,D5/D6,0.000477,1.129,up-regulate,TRPC1,
ENSG00000144959,D5/D6,0.00923,-0.367,non-DEG,NCEH1,
ENSG00000145002,D5/D6,0.00497,1.048,up-regulate,FAM86B2,
ENSG00000145012,D5/D6,1.12E-05,0.81,non-DEG,LPP,
ENSG00000145014,D5/D6,0.0705,0.405,non-DEG,TMEM44,
ENSG00000145016,D5/D6,0.0011,0.263,non-DEG,RUBCN,
ENSG00000145029,D5/D6,0.419,-0.248,non-DEG,NICN1,
ENSG00000145041,D5/D6,9.24E-05,0.31,non-DEG,DCAF1,
ENSG00000145050,D5/D6,1.37E-05,-0.614,non-DEG,MANF,
ENSG00000145088,D5/D6,0.0195,-0.223,non-DEG,EAF2,
ENSG00000145103,D5/D6,0.00275,0.308,non-DEG,ILDR1,
ENSG00000145113,D5/D6,0.0258,-0.816,down-regulate,MUC4,
ENSG00000145191,D5/D6,0.000832,0.26,non-DEG,EIF2B5,
ENSG00000145214,D5/D6,0.0425,0.214,non-DEG,DGKQ,
ENSG00000145217,D5/D6,0.00146,0.616,non-DEG,SLC26A1,
ENSG00000145220,D5/D6,0.000254,0.496,non-DEG,LYAR,
ENSG00000145244,D5/D6,0.0477,-0.728,non-DEG,CORIN,
ENSG00000145246,D5/D6,3.42E-05,-0.554,non-DEG,ATP10D,
ENSG00000145293,D5/D6,0.000171,0.332,non-DEG,ENOPH1,
ENSG00000145332,D5/D6,0.0246,0.271,non-DEG,KLHL8,
ENSG00000145337,D5/D6,0.00882,0.196,non-DEG,PYURF,
ENSG00000145348,D5/D6,0.0553,0.123,non-DEG,TBCK,
ENSG00000145349,D5/D6,0.00154,-0.266,non-DEG,CAMK2D,
ENSG00000145362,D5/D6,0.0231,0.179,non-DEG,ANK2,
ENSG00000145365,D5/D6,4.11E-08,-0.766,non-DEG,TIFA,
ENSG00000145375,D5/D6,0.085,0.099,non-DEG,SPATA5,
ENSG00000145386,D5/D6,0.00599,-0.326,non-DEG,CCNA2,
ENSG00000145391,D5/D6,1.85E-07,1.042,up-regulate,SETD7,
ENSG00000145414,D5/D6,0.00723,0.237,non-DEG,NAF1,
ENSG00000145416,D5/D6,0.448,0.792,up-regulate,MARCHF1,
ENSG00000145425,D5/D6,0.0356,0.278,non-DEG,RPS3A,
ENSG00000145439,D5/D6,0.0428,0.13,non-DEG,CBR4,
ENSG00000145476,D5/D6,0.148,0.242,non-DEG,CYP4V2,
ENSG00000145495,D5/D6,0.00164,-0.187,non-DEG,MARCHF6,
ENSG00000145569,D5/D6,0.109,0.757,up-regulate,OTULINL,
ENSG00000145592,D5/D6,0.00074,0.363,non-DEG,RPL37,
ENSG00000145632,D5/D6,1.82E-05,-1.481,down-regulate,PLK2,
ENSG00000145675,D5/D6,0.00061,-0.758,non-DEG,PIK3R1,
ENSG00000145685,D5/D6,0.00475,-0.168,non-DEG,LHFPL2,
ENSG00000145687,D5/D6,6.73E-06,-0.76,non-DEG,SSBP2,
ENSG00000145703,D5/D6,3.05E-06,-0.775,non-DEG,IQGAP2,
ENSG00000145715,D5/D6,0.109,0.145,non-DEG,RASA1,
ENSG00000145725,D5/D6,0.0859,-0.146,non-DEG,PPIP5K2,
ENSG00000145730,D5/D6,0.00141,-0.329,non-DEG,PAM,
ENSG00000145734,D5/D6,0.0207,0.123,non-DEG,BDP1,
ENSG00000145736,D5/D6,0.00133,0.288,non-DEG,GTF2H2,
ENSG00000145741,D5/D6,5.48E-06,0.327,non-DEG,BTF3,
ENSG00000145743,D5/D6,0.0745,0.068,non-DEG,FBXL17,
ENSG00000145780,D5/D6,0.000141,-0.41,non-DEG,FEM1C,
ENSG00000145817,D5/D6,0.0316,-0.116,non-DEG,YIPF5,
ENSG00000145833,D5/D6,0.00828,0.164,non-DEG,DDX46,
ENSG00000145850,D5/D6,0.00499,-0.701,non-DEG,TIMD4,
ENSG00000145864,D5/D6,0.166,-0.412,non-DEG,GABRB2,
ENSG00000145868,D5/D6,0.00362,0.188,non-DEG,FBXO38,
ENSG00000145882,D5/D6,0.00617,0.288,non-DEG,PCYOX1L,
ENSG00000145901,D5/D6,3.23E-06,-0.451,non-DEG,TNIP1,
ENSG00000145911,D5/D6,0.00112,0.393,non-DEG,N4BP3,
ENSG00000145912,D5/D6,0.0011,0.324,non-DEG,NHP2,
ENSG00000145916,D5/D6,0.0604,0.103,non-DEG,RMND5B,
ENSG00000145919,D5/D6,0.00612,0.317,non-DEG,BOD1,
ENSG00000145934,D5/D6,0.000854,-1.446,down-regulate,TENM2,
ENSG00000145945,D5/D6,0.0298,0.169,non-DEG,FAM50B,
ENSG00000145979,D5/D6,0.00158,0.516,non-DEG,TBC1D7,
ENSG00000145982,D5/D6,0.000583,0.547,non-DEG,FARS2,
ENSG00000145990,D5/D6,2.54E-08,0.938,non-DEG,GFOD1,
ENSG00000146007,D5/D6,0.0438,-0.12,non-DEG,ZMAT2,
ENSG00000146054,D5/D6,4.45E-07,1.373,up-regulate,TRIM7,
ENSG00000146063,D5/D6,0.00628,0.227,non-DEG,TRIM41,
ENSG00000146067,D5/D6,0.116,-0.132,non-DEG,FAM193B,
ENSG00000146072,D5/D6,0.000472,-1.888,down-regulate,TNFRSF21,
ENSG00000146083,D5/D6,6.46E-05,0.478,non-DEG,RNF44,
ENSG00000146094,D5/D6,1.41E-06,0.526,non-DEG,DOK3,
ENSG00000146112,D5/D6,0.102,-0.42,non-DEG,PPP1R18,
ENSG00000146122,D5/D6,7.29E-05,-1.446,down-regulate,DAAM2,
ENSG00000146192,D5/D6,0.00375,-0.176,non-DEG,FGD2,
ENSG00000146215,D5/D6,0.00274,-0.406,non-DEG,CRIP3,
ENSG00000146223,D5/D6,0.00106,0.258,non-DEG,RPL7L1,
ENSG00000146232,D5/D6,0.00626,-0.217,non-DEG,NFKBIE,
ENSG00000146242,D5/D6,4.93E-05,-1.118,down-regulate,TPBG,
ENSG00000146247,D5/D6,0.000955,0.184,non-DEG,PHIP,
ENSG00000146278,D5/D6,0.322,0.04,non-DEG,PNRC1,
ENSG00000146281,D5/D6,3.08E-08,1.217,up-regulate,PM20D2,
ENSG00000146350,D5/D6,0.000877,-0.423,non-DEG,TBC1D32,
ENSG00000146373,D5/D6,0.000134,-2.501,down-regulate,RNF217,
ENSG00000146376,D5/D6,6.71E-05,-0.553,non-DEG,ARHGAP18,
ENSG00000146386,D5/D6,0.00606,-0.203,non-DEG,ABRACL,
ENSG00000146409,D5/D6,0.000767,0.485,non-DEG,SLC18B1,
ENSG00000146411,D5/D6,0.0821,0.621,non-DEG,SLC2A12,
ENSG00000146414,D5/D6,0.0801,0.057,non-DEG,SHPRH,
ENSG00000146416,D5/D6,0.0709,-0.13,non-DEG,AIG1,
ENSG00000146426,D5/D6,9.75E-08,1.483,up-regulate,TIAM2,
ENSG00000146463,D5/D6,0.000252,0.27,non-DEG,ZMYM4,
ENSG00000146476,D5/D6,0.36,-0.099,non-DEG,ARMT1,
ENSG00000146535,D5/D6,0.0303,-0.183,non-DEG,GNA12,
ENSG00000146540,D5/D6,0.000607,-0.396,non-DEG,C7orf50,
ENSG00000146574,D5/D6,0.0344,-0.14,non-DEG,CCZ1B,
ENSG00000146592,D5/D6,2.92E-08,1.358,up-regulate,CREB5,
ENSG00000146670,D5/D6,0.0368,-0.276,non-DEG,CDCA5,
ENSG00000146676,D5/D6,0.145,-0.036,non-DEG,PURB,
ENSG00000146701,D5/D6,0.000482,0.266,non-DEG,MDH2,
ENSG00000146722,D5/D6,0.0796,0.398,non-DEG,,
ENSG00000146729,D5/D6,0.202,0.049,non-DEG,NIPSNAP2,
ENSG00000146731,D5/D6,0.000138,0.348,non-DEG,CCT6A,
ENSG00000146733,D5/D6,0.00321,0.207,non-DEG,PSPH,
ENSG00000146776,D5/D6,0.000208,0.856,non-DEG,ATXN7L1,
ENSG00000146830,D5/D6,0.00017,0.252,non-DEG,GIGYF1,
ENSG00000146842,D5/D6,0.0468,0.12,non-DEG,TMEM209,
ENSG00000146856,D5/D6,0.0703,-0.18,non-DEG,AGBL3,
ENSG00000146858,D5/D6,5.99E-05,0.757,non-DEG,ZC3HAV1L,
ENSG00000146859,D5/D6,2.25E-07,-0.786,non-DEG,TMEM140,
ENSG00000146909,D5/D6,0.000303,0.277,non-DEG,NOM1,
ENSG00000146918,D5/D6,0.123,-0.177,non-DEG,NCAPG2,
ENSG00000147010,D5/D6,0.0391,0.117,non-DEG,SH3KBP1,
ENSG00000147044,D5/D6,1.84E-07,-1.283,down-regulate,CASK,
ENSG00000147050,D5/D6,0.0618,-0.126,non-DEG,KDM6A,
ENSG00000147059,D5/D6,0.122,0.179,non-DEG,SPIN2A,
ENSG00000147065,D5/D6,9.11E-07,0.378,non-DEG,MSN,
ENSG00000147118,D5/D6,0.181,0.043,non-DEG,ZNF182,
ENSG00000147121,D5/D6,0.025,-0.189,non-DEG,KRBOX4,
ENSG00000147123,D5/D6,0.163,0.099,non-DEG,NDUFB11,
ENSG00000147130,D5/D6,0.011,0.244,non-DEG,ZMYM3,
ENSG00000147133,D5/D6,0.00292,0.153,non-DEG,TAF1,
ENSG00000147138,D5/D6,7.09E-05,-0.572,non-DEG,GPR174,
ENSG00000147140,D5/D6,0.00151,0.219,non-DEG,NONO,
ENSG00000147162,D5/D6,6.42E-05,0.137,non-DEG,OGT,
ENSG00000147166,D5/D6,0.0415,0.366,non-DEG,ITGB1BP2,
ENSG00000147180,D5/D6,9.66E-07,1.331,up-regulate,ZNF711,
ENSG00000147202,D5/D6,0.115,-0.127,non-DEG,DIAPH2,
ENSG00000147224,D5/D6,0.0153,0.166,non-DEG,PRPS1,
ENSG00000147231,D5/D6,0.000137,0.556,non-DEG,RADX,
ENSG00000147251,D5/D6,0.0549,0.063,non-DEG,DOCK11,
ENSG00000147274,D5/D6,4.24E-05,0.325,non-DEG,RBMX,
ENSG00000147324,D5/D6,0.11,-0.096,non-DEG,MFHAS1,
ENSG00000147364,D5/D6,0.0146,0.208,non-DEG,FBXO25,
ENSG00000147383,D5/D6,0.163,-0.13,non-DEG,NSDHL,
ENSG00000147400,D5/D6,0.0252,-0.284,non-DEG,CETN2,
ENSG00000147403,D5/D6,0.00076,0.278,non-DEG,RPL10,
ENSG00000147408,D5/D6,0.00119,-1.402,down-regulate,CSGALNACT1,
ENSG00000147416,D5/D6,0.0203,-0.155,non-DEG,ATP6V1B2,
ENSG00000147434,D5/D6,0.00165,-1.83,down-regulate,CHRNA6,
ENSG00000147443,D5/D6,0.000211,-0.983,down-regulate,DOK2,
ENSG00000147454,D5/D6,4.13E-06,0.787,non-DEG,SLC25A37,
ENSG00000147471,D5/D6,0.00249,0.197,non-DEG,PLPBP,
ENSG00000147475,D5/D6,0.058,0.102,non-DEG,ERLIN2,
ENSG00000147509,D5/D6,0.224,0.154,non-DEG,RGS20,
ENSG00000147526,D5/D6,0.00218,-0.201,non-DEG,TACC1,
ENSG00000147533,D5/D6,0.00207,-0.451,non-DEG,GOLGA7,
ENSG00000147548,D5/D6,6.11E-07,0.562,non-DEG,NSD3,
ENSG00000147570,D5/D6,0.000268,-2.297,down-regulate,DNAJC5B,
ENSG00000147576,D5/D6,0.00016,-0.84,non-DEG,ADHFE1,
ENSG00000147592,D5/D6,0.00515,0.281,non-DEG,LACTB2,
ENSG00000147604,D5/D6,1.65E-05,0.486,non-DEG,RPL7,
ENSG00000147642,D5/D6,5.30E-06,1.867,up-regulate,SYBU,
ENSG00000147649,D5/D6,0.0655,-0.065,non-DEG,MTDH,
ENSG00000147650,D5/D6,0.00154,-0.933,non-DEG,LRP12,
ENSG00000147669,D5/D6,0.000576,0.386,non-DEG,POLR2K,
ENSG00000147677,D5/D6,0.03,0.222,non-DEG,EIF3H,
ENSG00000147679,D5/D6,0.0325,0.19,non-DEG,UTP23,
ENSG00000147687,D5/D6,0.114,0.158,non-DEG,TATDN1,
ENSG00000147789,D5/D6,0.0424,0.209,non-DEG,ZNF7,
ENSG00000147804,D5/D6,0.00626,0.447,non-DEG,SLC39A4,
ENSG00000147852,D5/D6,0.00045,-0.265,non-DEG,VLDLR,
ENSG00000147854,D5/D6,0.0347,-0.159,non-DEG,UHRF2,
ENSG00000147862,D5/D6,3.73E-05,-3.044,down-regulate,NFIB,
ENSG00000147872,D5/D6,5.28E-06,-0.464,non-DEG,PLIN2,
ENSG00000147889,D5/D6,0.0946,0.419,non-DEG,CDKN2A,
ENSG00000147894,D5/D6,0.058,-0.261,non-DEG,C9orf72,
ENSG00000147912,D5/D6,0.00251,-0.396,non-DEG,FBXO10,
ENSG00000147955,D5/D6,1.22E-05,0.773,non-DEG,SIGMAR1,
ENSG00000147996,D5/D6,0.00187,0.27,non-DEG,CBWD5,
ENSG00000148057,D5/D6,0.241,-0.187,non-DEG,IDNK,
ENSG00000148110,D5/D6,0.0763,0.087,non-DEG,MFSD14B,
ENSG00000148143,D5/D6,0.0317,-0.373,non-DEG,ZNF462,
ENSG00000148154,D5/D6,4.75E-07,0.618,non-DEG,UGCG,
ENSG00000148158,D5/D6,7.56E-07,0.826,non-DEG,SNX30,
ENSG00000148175,D5/D6,0.0071,-0.193,non-DEG,STOM,
ENSG00000148180,D5/D6,0.000323,-0.666,non-DEG,GSN,
ENSG00000148187,D5/D6,4.27E-05,0.367,non-DEG,MRRF,
ENSG00000148204,D5/D6,0.0967,0.359,non-DEG,CRB2,
ENSG00000148218,D5/D6,0.00113,-0.262,non-DEG,ALAD,
ENSG00000148219,D5/D6,0.0102,-0.418,non-DEG,ASTN2,
ENSG00000148248,D5/D6,0.0461,-0.139,non-DEG,SURF4,
ENSG00000148291,D5/D6,0.000615,0.553,non-DEG,SURF2,
ENSG00000148296,D5/D6,0.000112,0.398,non-DEG,SURF6,
ENSG00000148300,D5/D6,0.00139,0.249,non-DEG,REXO4,
ENSG00000148303,D5/D6,1.01E-06,0.521,non-DEG,RPL7A,
ENSG00000148335,D5/D6,0.0678,0.231,non-DEG,NTMT1,
ENSG00000148339,D5/D6,0.0399,0.275,non-DEG,SLC25A25,
ENSG00000148356,D5/D6,0.0086,0.212,non-DEG,LRSAM1,
ENSG00000148357,D5/D6,0.00105,1.258,up-regulate,HMCN2,
ENSG00000148362,D5/D6,0.0501,0.278,non-DEG,PAXX,
ENSG00000148399,D5/D6,0.13,0.154,non-DEG,DPH7,
ENSG00000148400,D5/D6,0.0169,0.194,non-DEG,NOTCH1,
ENSG00000148408,D5/D6,6.26E-06,-1.626,down-regulate,CACNA1B,
ENSG00000148411,D5/D6,0.000311,-0.323,non-DEG,NACC2,
ENSG00000148426,D5/D6,0.00167,-0.855,non-DEG,PROSER2,
ENSG00000148429,D5/D6,6.60E-05,-0.443,non-DEG,USP6NL,
ENSG00000148444,D5/D6,0.00264,-0.27,non-DEG,COMMD3,
ENSG00000148459,D5/D6,8.84E-05,0.637,non-DEG,PDSS1,
ENSG00000148481,D5/D6,0.0113,-0.202,non-DEG,MINDY3,
ENSG00000148484,D5/D6,0.181,-0.171,non-DEG,RSU1,
ENSG00000148498,D5/D6,3.91E-09,-2.347,down-regulate,PARD3,
ENSG00000148516,D5/D6,0.229,-0.031,non-DEG,ZEB1,
ENSG00000148572,D5/D6,0.00051,-0.337,non-DEG,NRBF2,
ENSG00000148606,D5/D6,0.0512,0.102,non-DEG,POLR3A,
ENSG00000148655,D5/D6,0.00186,-1.516,down-regulate,LRMDA,
ENSG00000148672,D5/D6,0.0108,0.138,non-DEG,GLUD1,
ENSG00000148700,D5/D6,0.00176,-0.774,down-regulate,ADD3,
